txn_id,txn_date,txn_time,txn_datetime,txn_type,sender_id,receiver_id,merchant_id,merchant_category,amount,payment_mode,bank_name,status,is_fraud_flag,device_type
TXN000001,2023-08-26,04:41:45,2023-08-26 04:41:45,P2M,U0069,,M041,Fuel,618.23,UPI,Bank of Baroda,Success,0,Android
TXN000002,2023-05-25,06:41:59,2023-05-25 06:41:59,P2M,U0071,,M074,Insurance,19493.64,UPI Lite,Axis,Success,0,Web
TXN000003,2023-05-26,07:46:13,2023-05-26 07:46:13,P2P,U0086,U0251,,,2923.91,Wallet,Yes Bank,Success,0,Android
TXN000004,2023-06-01,13:27:31,2023-06-01 13:27:31,Recharge,U0005,,M063,Insurance,99.0,UPI Lite,PNB,Success,0,Android
TXN000005,2023-12-11,17:59:46,2023-12-11 17:59:46,P2M,U0252,,M054,Grocery,2188.4,UPI,PNB,Success,0,iOS
TXN000006,2023-08-13,05:12:16,2023-08-13 05:12:16,P2P,U0017,U0141,,,2287.19,Wallet,Yes Bank,Success,0,Android
TXN000007,2024-03-20,20:09:49,2024-03-20 20:09:49,Bill Payment,U0254,,M071,Recharge & Bills,2651.87,UPI Lite,PNB,Success,0,iOS
TXN000008,2023-11-27,05:27:28,2023-11-27 05:27:28,P2M,U0022,,M057,Healthcare,2777.13,UPI,Kotak,Success,0,Android
TXN000009,2023-09-28,17:56:44,2023-09-28 17:56:44,Wallet Load,U0231,,,,500.0,UPI,SBI,Success,0,Android
TXN000010,2024-09-21,16:35:38,2024-09-21 16:35:38,Wallet Load,U0122,,,,200.0,UPI Lite,HDFC,Success,0,Android
TXN000011,2024-09-01,14:39:05,2024-09-01 14:39:05,Bill Payment,U0220,,M022,Shopping,3157.53,UPI,Axis,Success,0,iOS
TXN000012,2023-05-11,18:46:53,2023-05-11 18:46:53,P2M,U0273,,M036,Food & Beverages,509.74,Wallet,Yes Bank,Success,0,Android
TXN000013,2024-09-25,04:04:24,2024-09-25 04:04:24,Wallet Load,U0264,,,,5000.0,Wallet,PNB,Success,0,Web
TXN000014,2024-11-03,16:52:44,2024-11-03 16:52:44,Wallet Load,U0065,,,,5000.0,UPI,Yes Bank,Success,0,iOS
TXN000015,2024-03-24,11:59:31,2024-03-24 11:59:31,Recharge,U0202,,M063,Insurance,99.0,UPI Lite,Yes Bank,Success,0,Android
TXN000016,2023-08-05,02:30:09,2023-08-05 02:30:09,P2M,U0048,,M052,Education,10554.46,Wallet,ICICI,Success,1,Android
TXN000017,2024-06-25,14:24:31,2024-06-25 14:24:31,P2P,U0048,U0235,,,6366.66,UPI,ICICI,Success,0,iOS
TXN000018,2023-09-08,18:38:33,2023-09-08 18:38:33,P2M,U0220,,M028,Travel,7521.78,UPI Lite,Axis,Success,0,Android
TXN000019,2023-03-19,08:12:27,2023-03-19 08:12:27,Recharge,U0176,,M007,Education,19.0,Wallet,PNB,Success,0,Android
TXN000020,2023-12-21,14:06:53,2023-12-21 14:06:53,Wallet Load,U0081,,,,1000.0,Wallet,Canara,Success,0,Android
TXN000021,2024-12-25,11:15:52,2024-12-25 11:15:52,Bill Payment,U0068,,M039,Recharge & Bills,963.09,UPI,Axis,Success,0,iOS
TXN000022,2024-04-30,22:06:32,2024-04-30 22:06:32,P2M,U0191,,M022,Shopping,603.94,UPI,SBI,Success,0,Android
